scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
13880__len__10026	+	14074__len__8711	+	-3119.32293956	0.00256646114999	0.4	5
13880__len__10026	+	256__len__14222	+	-637.707379947	0.00256646115031	0.4	5
13880__len__10026	+	6848__len__8564	-	1794.57872605	0.265790114352	0.333333333333	6
13880__len__10026	+	9138__len__16334	+	-2603	0.594516326111	0.428571428571	7
13880__len__10026	+	7092__len__25519	+	-4040.32293956	0.0063556846273	0.470588235294	17
13880__len__10026	+	26419__len__13201	+	-2876.32293956	0.00276213842674	0.428571428571	7
11595__len__12716	+	3954__len__18410	-	-3265.32293956	0.00414729767885	0.619047619048	21
11595__len__12716	+	926__len__14190	+	-3816.32293956	0.0021096180703	0.6	5
11595__len__12716	+	5260__len__12220	-	-3396.32293956	0.00173963562671	0.5	6
11595__len__12716	+	3513__len__33793	+	-5211.32293956	0.00288228700017	0.571428571429	7
11595__len__12716	+	12189__len__35777	+	-4572.32293956	0.00323600639939	0.529411764706	17
11595__len__12716	+	8536__len__20646	+	-331.292706012	0.629238906121	0.363636363636	11
11595__len__12716	+	6224__len__18329	-	87.6242779554	0.00586834533483	0.333333333333	12
11595__len__12716	+	5098__len__10332	-	1870.27242407	0.00218248375566	0.6	5
11595__len__12716	+	3622__len__11708	-	100.195332484	0.00678579618409	0.444444444444	9
11595__len__12716	+	50639__len__10273	-	-4346.32293956	0.00249613376315	0.5	6
11595__len__12716	+	3049__len__13350	-	-103.80197515	0.518792072691	0.2	25
11595__len__12716	+	33070__len__27995	+	40.3601115404	0.00845102851943	0.333333333333	9
11595__len__12716	+	7781__len__13634	-	-5225.32293956	0.00276673816258	0.4	5
11595__len__12716	+	14743__len__9268	-	-1793.68748982	0.00403961105503	0.5	10
11595__len__12716	+	11575__len__70208	-	162.338640513	0.655048834553	0.444444444444	9
21933__len__13541	+	5335__len__14170	+	-299	0.912163336102	0.784810126582	632
35015__len__47446	+	1617__len__47245	-	-3206.32293956	0.00492620789865	0.333333333333	9
12395__len__11732	+	9644__len__21427	+	-149	0.942703094274	0.826168224299	535
12395__len__11732	+	19758__len__12585	-	-857.891086039	0.831202961582	0.4	15
12395__len__11732	+	3321__len__29738	+	-2945.32293956	0.688481803258	0.428571428571	7
12395__len__11732	+	28626__len__12779	+	-73	0.678056424339	0.380952380952	21
12395__len__11732	+	12103__len__24476	-	-34	0.67692894885	0.380952380952	21
12395__len__11732	+	3826__len__38761	+	-2303.32293956	0.989210982035	0.428571428571	7
12395__len__11732	+	6682__len__11864	-	-8	0.641144856182	0.461538461538	26
12395__len__11732	+	21562__len__10943	+	-407.277553965	0.683891324543	0.421052631579	19
12395__len__11732	+	1193__len__21002	-	-344.75357357	0.928949495112	0.4	5
12395__len__11732	+	2487__len__34149	+	-1601	0.919564001223	0.451612903226	31
12395__len__11732	+	15174__len__14165	-	-2816.32293956	0.705412683152	0.4	5
12395__len__11732	+	9924__len__26473	-	1207.65677816	0.9540694345	0.333333333333	6
12395__len__11732	+	36843__len__8483	-	-211	0.692975481968	0.3125	32
13908__len__21344	+	1833__len__12894	-	-1353	0.472457784854	0.333333333333	9
13908__len__21344	+	1833__len__12894	+	-329	0.889677403876	0.731707317073	574
21813__len__11735	-	9860__len__26288	-	-396	0.981946221844	0.787330316742	442
21813__len__11735	-	2801__len__20191	-	-5118.32293956	0.00522053093816	0.428571428571	7
25758__len__14674	-	6848__len__8564	-	-2999.32293956	0.518472136765	0.333333333333	6
25758__len__14674	-	7554__len__12382	+	-1031.19148852	0.00309090845949	0.5	6
25758__len__14674	-	6599__len__27127	+	-1038.60182719	0.00249613376315	0.5	6
25758__len__14674	-	1175__len__11933	-	-2099	0.828021291218	0.5	12
25758__len__14674	-	14097__len__25500	+	-1041.62290323	0.00365396568232	0.555555555556	9
25758__len__14674	-	1144__len__22190	+	-2120.02985899	0.00251979432794	0.5	6
25758__len__14674	-	3244__len__25102	+	-3824.32293956	0.0021096180703	0.6	5
25758__len__14674	-	9646__len__18427	+	-1034.56402096	0.0021096180703	0.6	5
25758__len__14674	-	11681__len__37769	+	-1028.503891	0.0021096180703	0.6	5
25758__len__14674	-	6400__len__23583	+	-1030.52395858	0.0021096180703	0.6	5
29907__len__15588	-	8854__len__24631	-	-4961.32293956	0.0021096180703	0.6	5
1144__len__22190	+	23522__len__9859	-	-4640.32293956	0.00138336908249	0.4	5
1144__len__22190	+	16893__len__39275	+	-764.656261242	0.00249613376315	0.5	6
1144__len__22190	+	23653__len__9002	-	-4530.32293956	0.0206645677966	0.4	5
13618__len__15697	+	9493__len__27012	+	-3629.32293956	0.0132055904704	0.25	8
13618__len__15697	+	41440__len__8826	+	-796.76278782	0.539945978735	0.636363636364	44
13618__len__15697	+	41440__len__8826	-	-688	0.421436266684	0.428571428571	7
10322__len__20069	-	17204__len__13908	-	-266	0.977473929698	0.753937007874	508
9860__len__26288	+	21813__len__11735	-	-4156.32293956	0.55750384641	0.588235294118	17
7757__len__13708	+	11581__len__19316	+	-412	0.958308294516	0.849420849421	518
1206__len__9257	+	2762__len__9106	+	-187	0.984923209777	0.733944954128	109
1206__len__9257	+	19129__len__9697	+	-3085.32293956	0.0067980551395	0.375	8
31767__len__8868	+	21886__len__11264	-	-1708	0.785710614432	0.583333333333	36
23382__len__13773	-	1893__len__9910	-	-4329.32293956	0.0082248053909	0.4	5
10238__len__19355	-	3048__len__24359	-	-3329.32293956	0.137708483583	0.125	8
10238__len__19355	-	5516__len__8982	-	3598.93587669	0.0027736356904	0.625	8
10238__len__19355	-	20386__len__8134	-	-2586.32293956	0.00288228700033	0.5	6
10238__len__19355	-	7464__len__14967	+	3019.27626055	0.00703112022336	0.4	5
10238__len__19355	-	15704__len__16301	-	-4124.32293956	0.00288228700017	0.571428571429	7
5370__len__39405	-	5382__len__152164	-	536.078914013	0.10929228558	0.4	5
5370__len__39405	-	16334__len__35596	+	-3978.32293956	0.530004939698	0.428571428571	21
4169__len__81376	+	11473__len__34256	+	-254	0.724678915454	0.581818181818	165
4169__len__81376	+	6225__len__46456	+	-5279.32293956	0.00316442710544	0.6	5
19486__len__9771	-	906__len__25345	-	-5103.32293956	0.0021096180703	0.6	5
19486__len__9771	-	9688__len__23043	-	-215.855951748	0.00249613376315	0.5	6
19486__len__9771	-	4359__len__9887	+	2258.95064082	0.9483182562	0.4	5
19486__len__9771	-	6224__len__18329	-	-4687.32293956	0.0021096180703	0.6	5
6629__len__11409	-	5161__len__9117	+	897.880344565	0.283615891553	0.4	5
6629__len__11409	-	23547__len__8290	-	-1909.04449908	0.00173963562633	0.6	5
6629__len__11409	-	2413__len__13920	-	-5114.32293956	0.00952726459178	0.428571428571	7
6629__len__11409	-	14074__len__8711	-	-451.538645489	0.0493389110785	0.4	5
6629__len__11409	-	11712__len__9397	+	678.772669648	0.0400554001459	0.285714285714	7
6629__len__11409	-	32293__len__11356	-	-1718.19455847	0.0021096180703	0.6	5
6629__len__11409	-	6848__len__8564	-	-449	0.42698098475	0.4	5
6629__len__11409	-	5283__len__36225	+	140.130685942	0.13438069507	0.333333333333	6
6629__len__11409	-	13197__len__47423	+	3948	0.00218393504404	0.6	5
6629__len__11409	-	42044__len__8107	-	-4032.32293956	0.0021096180703	0.6	5
6629__len__11409	-	2798__len__22659	+	2172.1409634	0.445421868384	0.5	6
6629__len__11409	-	1144__len__22190	+	1721.0005877	0.38694190983	0.166666666667	6
6629__len__11409	-	6212__len__12509	-	-3613.32293956	0.654418664929	0.230769230769	13
6629__len__11409	-	14411__len__11651	+	-3514.32293956	0.0021096180703	0.6	5
16080__len__52634	+	3447__len__52347	+	-2840.32293956	0.508604762277	0.363636363636	11
18979__len__9774	+	13349__len__22511	-	-2856.32293956	0.793571872141	0.4	5
18979__len__9774	+	8278__len__29396	+	-3216.32293956	0.612223168994	0.625	8
18979__len__9774	+	1069__len__61442	+	-4967.32293956	0.00276673816258	0.4	5
18979__len__9774	+	6506__len__41376	-	-3315.32293956	0.583570412281	0.222222222222	9
18979__len__9774	+	6648__len__11662	-	1177.80815439	0.0187446911933	0.4	5
32404__len__9589	+	1887__len__88257	+	-500	0.824711695183	0.703125	128
9755__len__17035	+	13673__len__23111	+	1020.00060499	0.117019080685	0.4	5
7199__len__15317	+	11978__len__13571	+	-405	0.802300342643	0.776859504132	121
21333__len__18353	-	8648__len__38337	+	-4340.32293956	0.00256646115128	0.4	5
13368__len__8469	+	14564__len__12386	-	-4942.32293956	0.0030057430788	0.6	5
44151__len__9552	-	19977__len__17566	-	-2562.32293956	0.741656205127	0.533333333333	45
16143__len__18337	-	11184__len__31715	-	-3866.32293956	0.00843847228118	0.2	5
16143__len__18337	-	3095__len__12642	-	-2377.04331675	0.00558152477533	0.5	14
29626__len__10298	+	10450__len__10409	+	1670.21810356	0.074563299961	0.4	5
3558__len__14722	-	23305__len__19331	+	-364.267292763	0.0671265309541	0.166666666667	6
3558__len__14722	-	24720__len__11191	-	3929	0.00978195812544	0.142857142857	7
3558__len__14722	-	4359__len__9887	+	3904	0.0697676385767	0.5	6
4409__len__13933	-	1175__len__11933	-	-1740.77147982	0.00470675496188	0.444444444444	9
4409__len__13933	-	855__len__10192	-	97.1194052122	0.00484342448596	0.2	5
4409__len__13933	-	30326__len__33707	+	1167.02617766	0.0024035636494	0.428571428571	7
14467__len__10216	-	9941__len__12646	-	-4156.32293956	0.0111424925445	0.416666666667	12
8171__len__22262	+	3095__len__12642	-	-1573.47088697	0.00258925884687	0.615384615385	13
8171__len__22262	+	9729__len__9095	-	-4549.32293956	0.280630273665	0.5	6
8171__len__22262	+	7489__len__17956	-	-4146.32293956	0.347781236826	0.222222222222	9
8171__len__22262	+	8281__len__15154	+	-3160.32293956	0.00925350727374	0.4	15
29008__len__8899	+	9290__len__21801	+	374.552738916	0.355729205579	0.705882352941	34
3048__len__24359	-	19462__len__10841	-	-4750.32293956	0.00309330730213	0.5	6
3048__len__24359	-	4359__len__9887	+	518	0.766929167088	0.441176470588	34
3048__len__24359	-	2901__len__8503	-	776.131647824	0.0021394708387	0.6	5
3048__len__24359	-	42598__len__8589	-	-774.573024477	0.00233014931941	0.4	5
3048__len__24359	-	23547__len__8290	-	-1698.76550564	0.714229322861	0.4	5
3048__len__24359	-	2911__len__27256	-	322.946899968	0.431380491884	0.4	5
3048__len__24359	-	3353__len__19426	+	924.820257665	0.371568292715	0.333333333333	6
5382__len__152164	-	853__len__20726	-	-4358.32293956	0.00129664783913	0.5	10
4075__len__47712	+	11638__len__15976	+	2172.44789553	0.256857970971	0.5	10
31702__len__9265	-	34085__len__8901	+	-3584.32293956	0.64522886938	0.25	8
5270__len__23728	+	20388__len__9074	-	-4229.32293956	0.594805196883	0.2	5
5270__len__23728	+	20388__len__9074	+	-186	0.544000894635	0.842424242424	165
38798__len__12087	+	4897__len__16434	+	-320	0.943410455968	0.844036697248	436
38798__len__12087	+	4897__len__16434	-	-4716.32293956	0.00748146437105	0.166666666667	6
11736__len__35794	+	9806__len__17741	-	-4036.32293956	0.0161216786566	0.166666666667	6
12216__len__19993	+	6984__len__18087	-	-2608.32293956	0.319756586207	0.2	5
12216__len__19993	+	11184__len__31715	-	-887	0.677656469502	0.4	10
12216__len__19993	+	2963__len__21462	-	659.672960706	0.322482869948	0.2	5
12216__len__19993	+	24155__len__17749	+	-214	0.88881345806	0.814159292035	339
